title,ranking,year,duration,genre,rating,directors,votes
 Cleopatra 2525,"4,896.",(2000–2001),Desconhecido,"Sci-Fi, Action, Fantasy",6.676,,867.0
 Cliff Dexter,"4,907.",(1966–1968),Desconhecido,,,,0.0
 Club Disney,"4,976.",(1989–2005),Desconhecido,,,,0.0
 Cobra,"4,998.",(1993–1994),60 min,"Action, Adventure",6.733333333333333,,50.0
 Code Name: Eternity,"5,002.",(1999),Desconhecido,,6.007692307692308,,217.0
 Code Name: Foxfire,"5,028.",(1985),Desconhecido,,,,0.0
 Code Red,"5,030.",(1981–1982),60 min,"Action, Adventure, Drama",6.840000000000001,,76.0
 Codename: Kids Next Door,"5,040.",(2002–2008),22 min,"Animation, Action, Adventure",8.392857142857142,,2486.0
 Combat!,"5,202.",(1962–1967),60 min,"Action, Drama, War",8.375838926174497,,13331.0
 Commando Cody: Sky Marshal of the Universe,"5,348.",(1953– ),30 min,"Action, Adventure, Sci-Fi",6.154545454545455,,149.0
 Commissaris Roos,"5,360.",(1990–1992),Desconhecido,,,,0.0
 Conan the Adventurer,"5,364.",(1997–1998),43 min,"Action, Adventure, Fantasy",6.721739130434782,,880.0
 Conquest,"5,387.",(2002– ),Desconhecido,,,,0.0
 Cop Shop,"5,406.",(1977–1984),Desconhecido,,,"Ian Crawford,Marie Trevor,Peter Adams,Tony Bonner,Paula Duncan,Joanna Lockwood,« Previous,Next »,TV Episodes,Action,Adventure,Drama,Comedy,Animation,Fantasy,Sci-Fi,Family,Crime,Thriller,Romance,Mystery,Sport,Game-Show,Music,Horror,History,War,Short,Reality-TV,Western,Talk-Show,Biography,Documentary,Musical,News,<svg version=""1.1"" id=""Layer_1"" xmlns=""http://www.w3.org/2000/svg"" x=""0px"" y=""0px"" viewBox=""0 0 30 14"" class=""sc-bcXHqe xhbNo""",0.0
 Cops,"5,410.",(1989–2023),Desconhecido,,6.466666666666666,,38.0
 Counterstrike,"5,414.",(1990–1993),Desconhecido,"Action, Adventure",6.0,,12.0
 Cover Up,"5,464.",(1984–1985),Desconhecido,"Action, Adventure, Drama",7.644444444444444,,132.0
 Critical Rescue,239.,(2003),49 min,"Action, Drama",,"Stuart Taylor,Joe Wiecha,Loydene Keith,Chuck Crawford,Tina Murphy,Debi Deimling",0.0
 Crossbow,"5,508.",(1987–1989),23 min,"Action, Adventure, Drama",7.0375,,73.0
 Crusade,"5,533.",(1999),44 min,"Action, Adventure, Drama",7.069230769230769,,2191.0
